,MANDT,BUKRS,BELNR,BLDAT,BUDAT,AEDAT,USNAM,TCODE,XBLNR,STBLG,CPUDT,STJAH,BSTAT,WAERS,AWTYP,AWKEY,HWAER,XREVERSAL,CPUTM,GJAHR,BLART,AUGDT,AUGCP,BSCHL,KOART,AUGBL,BUZEI,SHKZG,WRBTR,DMBTR,ZUONR,SGTXT,VBUND,LIFNR,ZFBDT,ZTERM,ZBD1T,ZBD3T,ZBD2T,ZBD2P,ZBD1P,SKNTO,SKFBT,ZLSPR,FDWBT,ZLSCH,REBZJ,REBZZ,REBZT,REBZG,MATNR,NAME1,ID,unique_id
6765,10,202,29151746,2019-03-22,2019-03-31,2019-04-04,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,1400088349,None,2019-04-01,0,None,JPY,RMRP,30339064980673,EUR,None,,2019,"RE
",2019-04-18,20190418,31,K,171438629,1,H,255134.0,203651.02,1400088349,None,None,5623950,2019-03-22,Z006,30,0,0,0,0.0,0.0,255134.0,None,-255134.0,None,0,0,None,None,None,"Tamron Co., Ltd",010201900145758730101001,255134.02022019-03-221400088349
962,10,202,29179914,2019-07-05,2019-07-09,2019-07-09,0019aa197ccaf9bbfb46e56984309d39f2579f31,MIRO,R-101068/37195,None,2019-07-09,0,None,EUR,RMRP,45508654151009,EUR,None,2004-09-03,2019,"RE
",2019-07-18,20190718,31,K,171447138,1,H,18291.49,18291.49,R-101068/37195,None,None,5409381,2019-07-05,Z004,14,0,0,0,0.0,0.0,18291.49,None,-18291.49,None,0,0,None,None,None,Beck & Schubert GmbH & Co. KG,010201900145899570101001,18291.492022019-07-05R-101068/37195
6823,10,202,29179914,2019-07-05,2019-07-09,2019-07-09,0019aa197ccaf9bbfb46e56984309d39f2579f31,MIRO,R-101068/37195,None,2019-07-09,0,None,EUR,RMRP,45508654151009,EUR,None,2004-09-03,2019,"RE
",2019-07-18,20190718,31,K,171447138,1,H,18291.49,18291.49,R-101068/37195,None,None,5409381,2019-07-05,Z004,14,0,0,0,0.0,0.0,18291.49,None,-18291.49,None,0,0,None,None,None,Beck+Schubert GmbH & Co. KG,010201900145899570101001,18291.492022019-07-05R-101068/37195
6175,10,202,29180214,2019-05-23,2019-07-09,,0019aa197ccaf9bbfb46e56984309d39f2579f31,FB60,885651,None,2019-07-09,0,None,EUR,BKPF,729505350506009,EUR,None,,2019,"KR
",2019-07-10,20190710,31,K,101389438,1,H,1575.0,1575.0,885651,None,None,9912385,2019-05-23,Z001,0,0,0,0,0.0,0.0,1575.0,L,-1575.0,None,0,0,None,None,None,Europäisches Patentamt,010201900145901070101001,1575.02022019-05-23885651
7514,10,202,29180218,2019-05-23,2019-07-09,,0019aa197ccaf9bbfb46e56984309d39f2579f31,FB60,885651,None,2019-07-09,0,None,EUR,BKPF,486336967004006,EUR,None,,2019,"KR
",2019-07-10,20190710,31,K,101389438,1,H,1575.0,1575.0,885651,None,None,9912385,2019-05-23,Z001,0,0,0,0,0.0,0.0,1575.0,L,-1575.0,None,0,0,None,None,None,Europäisches Patentamt,010201900145901090101001,1575.02022019-05-23885651
4379,10,202,29178674,2019-06-25,2019-07-04,2019-07-05,ac6bde98968a9695467bbb3cac0ccd3ef4855e8e,MIRO,AUE190701-007618,None,2019-07-04,0,None,EUR,RMRP,30339101030673,EUR,None,2011-10-31,2019,"RE
",2019-07-09,20190709,31,K,171446035,1,H,583.1,583.1,AUE190701-007618,*AUE190701-0076187,None,5505988,2019-06-25,Z004,14,0,0,0,0.0,0.0,583.1,None,-583.1,None,0,0,None,None,None,AWA Aussenwirtschafts-Akademie,010201900145893370101001,583.12022019-06-25AUE190701-007618
7800,10,202,29178672,2019-06-25,2019-07-04,2019-07-05,ac6bde98968a9695467bbb3cac0ccd3ef4855e8e,MIRO,AUE190701-007618,None,2019-07-04,0,None,EUR,RMRP,45508651541009,EUR,None,2033-10-30,2019,"RE
",2019-07-09,20190709,31,K,171446035,1,H,583.1,583.1,AUE190701-007618,*AUE190701-0076183,None,5505988,2019-06-25,Z004,14,0,0,0,0.0,0.0,583.1,None,-583.1,None,0,0,None,None,None,AWA Aussenwirtschafts-Akademie,010201900145893360101001,583.12022019-06-25AUE190701-007618
7521,10,202,29206492,2019-09-30,2019-09-30,2019-10-07,25bdae2a660c2a4a2f93aa4ba107f83426bedf1f,MIRO,1950348,None,2019-10-02,0,None,EUR,RMRP,45508706586009,EUR,None,,2019,"RE
",2019-10-30,20191030,31,K,171456569,1,H,5504.39,5504.39,1950348,None,None,5402002,2019-09-30,Z326,30,0,90,0,3.0,165.13,5504.39,None,-5339.26,None,0,0,None,None,None,Gloning Kranktechnik GmbH,010201900146032460101001,5504.392022019-09-301950348
7845,10,202,29206492,2019-09-30,2019-09-30,2019-10-07,25bdae2a660c2a4a2f93aa4ba107f83426bedf1f,MIRO,1950348,None,2019-10-02,0,None,EUR,RMRP,45508706586009,EUR,None,,2019,"RE
",2019-10-30,20191030,31,K,171456569,1,H,5504.39,5504.39,1950348,None,None,5402002,2019-09-30,Z326,30,0,90,0,3.0,165.13,5504.39,None,-5339.26,None,0,0,None,None,None,Gloning Krantechnik GmbH,010201900146032460101001,5504.392022019-09-301950348
5786,10,222,232005406,2018-08-22,2019-02-12,,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FBVB,8340214374,None,2019-02-12,0,None,EUR,BKPF,5800135150556010,EUR,None,2047-09-15,2019,"KR
",2019-02-13,20190213,31,K,117100318,1,H,1377.81,1377.81,8340214374,None,None,5682545,2018-08-22,Z008,45,0,0,0,0.0,0.0,1377.81,None,-1377.81,None,0,0,None,None,None,Insula Fischer Diagnostics Ltd,010201901160027030111001,1377.812222018-08-228340214374
