,MANDT,BUKRS,BELNR,BLDAT,BUDAT,AEDAT,USNAM,TCODE,XBLNR,STBLG,CPUDT,STJAH,BSTAT,WAERS,AWTYP,AWKEY,HWAER,XREVERSAL,CPUTM,GJAHR,BLART,AUGDT,AUGCP,BSCHL,KOART,AUGBL,BUZEI,SHKZG,WRBTR,DMBTR,ZUONR,SGTXT,VBUND,LIFNR,ZFBDT,ZTERM,ZBD1T,ZBD3T,ZBD2T,ZBD2P,ZBD1P,SKNTO,SKFBT,ZLSPR,FDWBT,ZLSCH,REBZJ,REBZZ,REBZT,REBZG,MATNR,NAME1,ID,unique_id
9733,10,222,232007438,2019-03-31,2019-03-31,2019-04-02,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FB60,ABGRENZUNG,None,2019-04-01,0,None,EUR,BKPF,2900092975278005,EUR,None,,2019,"KR
",2019-04-02,20190402,31,K,1110001662,1,H,32593.57,32593.57,ABGRENZUNG,None,CZMIDE,5550055,2019-03-31,ZU28,45,0,0,0,0.0,0.0,32593.57,F,-32593.57,None,0,0,None,None,None,Nordmetall Microscopy GmbH,010201901160037190111001,32593.572222019-03-31ABGRENZUNG
10970,10,222,232007434,2019-03-31,2019-03-31,2019-04-02,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FB60,ABGRENZUNG,None,2019-04-01,0,None,EUR,BKPF,3866790567037339,EUR,None,,2019,"KR
",2019-03-31,20190401,31,K,1110001648,1,H,32593.57,32593.57,ABGRENZUNG,falsche tax code,CZMIDE,5550055,2019-03-31,ZU28,45,0,0,0,0.0,0.0,32593.57,F,-32593.57,None,0,0,None,None,None,Nordmetall Microscopy GmbH,010201901160037170111001,32593.572222019-03-31ABGRENZUNG
4202,10,202,29178858,2019-06-05,2019-07-03,2019-07-30,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,GER01906002733,None,2019-07-04,0,None,EUR,RMRP,30339101304006,EUR,None,,2019,"RE
",2019-07-30,20190730,31,K,171448126,1,H,129870.65,129870.65,GER01906002733,None,None,5640142,2019-06-05,Z006,30,0,0,0,0.0,0.0,129870.65,None,-129870.65,None,0,0,None,None,None,Orange Business Germany GmbH,010201900145894290101001,129870.652022019-06-05GER01906002733
11244,10,202,29178858,2019-06-05,2019-07-03,2019-07-30,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,GER01906002733,None,2019-07-04,0,None,EUR,RMRP,30339101304006,EUR,None,,2019,"RE
",2019-07-30,20190730,31,K,171448126,1,H,129870.65,129870.65,GER01906002733,None,None,5640142,2019-06-05,Z006,30,0,0,0,0.0,0.0,129870.65,None,-129870.65,None,0,0,None,None,None,Orange Business Deutschland GmbH,010201900145894290101001,129870.652022019-06-05GER01906002733
1288,10,252,532046060,2019-08-20,2019-08-21,2019-08-21,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,94188914,None,2019-08-21,0,None,EUR,RMRP,45630113966009,EUR,None,2032-11-14,2019,"RE
",2019-09-03,20190903,31,K,267111855,1,H,10193.06,10193.06,94188914,None,None,5556464,2019-08-20,Z311,14,0,60,0,3.0,305.79,10193.06,None,-9887.27,None,0,0,None,None,None,LEONI Fiber Vision Limited,010201902660230300126001,10193.062522019-08-2094188914
11254,10,252,532046060,2019-08-20,2019-08-21,2019-08-21,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,94188914,None,2019-08-21,0,None,EUR,RMRP,45630113966009,EUR,None,2032-11-14,2019,"RE
",2019-09-03,20190903,31,K,0267111855,1,H,10193.06,10193.06,94188914,None,None,5556464,2019-08-20,Z311,14,0,60,0,3.0,305.79,10193.06,None,-9887.27,None,0,0,None,None,None,LEONI Fiber Vision GmbH,010201902660230300126001,10193.062522019-08-2094188914
9019,10,252,532045234,2019-06-28,2019-08-28,,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FBVB,219065492,None,2019-08-28,0,None,EUR,BKPF,6650565425315505,EUR,None,,2019,"KR
",2019-08-29,20190829,31,K,0267111802,1,H,2554.05,2554.05,219065492,None,None,5160396,2019-06-28,Z006,30,0,0,0,0.0,0.0,2554.05,None,-2554.05,None,0,0,None,None,None,RWS Group-Translations Division,010201902660226170126001,2554.052522019-06-28219065492
11293,10,252,532045234,2019-06-28,2019-08-28,,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FBVB,219065492,None,2019-08-28,0,None,EUR,BKPF,6650565425315505,EUR,None,,2019,"KR
",2019-08-29,20190829,31,K,267111802,1,H,2554.05,2554.05,219065492,None,None,5160396,2019-06-28,Z006,30,0,0,0,0.0,0.0,2554.05,None,-2554.05,None,0,0,None,None,None,RWS Group-Transcreations Division,010201902660226170126001,2554.052522019-06-28219065492
10421,10,202,29192342,2019-08-12,2019-08-13,2019-08-21,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,INV-MHGDEU-1822,None,2019-08-21,0,None,EUR,RMRP,22754339293004,EUR,None,,2019,"RE
",2019-08-26,20190826,31,K,171450380,1,H,2017.05,2017.05,INV-MHGDEU-1822,None,None,5690137,2019-08-12,Z004,14,0,0,0,0.0,0.0,2017.05,None,-2017.05,None,0,0,None,None,None,Miller Heiman Europe GmbH,010201900145961710101001,2017.052022019-08-12INV-MHGDEU-1822
11870,10,202,29192342,2019-08-12,2019-08-13,2019-08-21,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,INV-MHGDEU-1822,None,2019-08-21,0,None,EUR,RMRP,22754339293004,EUR,None,,2019,"RE
",2019-08-26,20190826,31,K,171450380,1,H,2017.05,2017.05,INV-MHGDEU-1822,None,None,5690137,2019-08-12,Z004,14,0,0,0,0.0,0.0,2017.05,None,-2017.05,None,0,0,None,None,None,Miller Heinman Europe GmbH,010201900145961710101001,2017.052022019-08-12INV-MHGDEU-1822
6707,10,202,29178090,2019-06-25,2019-07-02,,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,FB60,21104540,None,2019-07-02,0,None,EUR,BKPF,729452250506009,EUR,None,,2019,"KR
",2019-07-25,20190725,31,K,171447740,1,H,1172.43,1172.43,21104540,None,None,5560419,2019-06-25,Z006,30,0,0,0,0.0,0.0,1172.43,None,-1172.43,None,0,0,None,None,None,Kühne & Nagel (KG & Co.),010201900145890450101001,1172.432022019-06-2521104540
11874,10,202,29178090,2019-06-25,2019-07-02,,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,FB60,21104540,None,2019-07-02,0,None,EUR,BKPF,729452250506009,EUR,None,,2019,"KR
",2019-07-25,20190725,31,K,171447740,1,H,1172.43,1172.43,21104540,None,None,5560419,2019-06-25,Z006,30,0,0,0,0.0,0.0,1172.43,None,-1172.43,None,0,0,None,None,None,Kühne + Nagel (KG & Co.) KG,010201900145890450101001,1172.432022019-06-2521104540
